STT,Quy cách,Mã gai,GIÁ BÁN LẺ
121,205/45R17 SP,SPORT MASTER,"1,650,000"
122,205/50R17,GREEN-Max,"1,650,000"
123,215/45R17 GM,GREEN-Max,"1,700,000"
124,215/45R17,HP010 PLUS,"1,700,000"
125,215/50R17 CW,CrossWind HP010,"1,750,000"
126,215/50R17 SP,SPORT MASTER,"1,800,000"
127,215/55R17 CW,CrossWind HP010,"1,800,000"
128,215/55R17,HP010 PLUS,"1,800,000"
129,215/55R17 SP,SPORT MASTER,"1,800,000"
130,215/60R17,HP010 PLUS,"1,850,000"
131,215/60R17 CW,CrossWind HP010,"1,900,000"
132,225/45R17 CW,CrossWind HP010,"1,750,000"
133,225/45R17,HP010 PLUS,"1,750,000"
134,225/50R17,CrossWind HP010,"1,950,000"
135,225/55R17,GRIP MASTER C/S,"2,100,000"
136,225/65R17,CrossWind HP010,"2,200,000"
137,235/60R17,CrossWind HP010,"2,200,000"
138,235/65R17,CrossWind HP010,"2,350,000"
139,245/45R17,CrossWind,"2,100,000"
140,245/65R17 CW,CROSSWIND 4X4 HP,"2,700,000"
141,245/65R17 HT,CROSSWIND H/T,"2,700,000"
142,255/65R17,CROSSWIND 4X4 HP,"2,700,000"
143,265/65R17 ,CROSSWIND 4X4 HP,"3,000,000"
144,265/65R17 AT2,CROSSWIND A/T,"3,350,000"
145,265/65R17 AT2,CROSSWIND AT-2,"3,300,000"
146,265/65R17 CS,GRIP MASTER C/S,"2,950,000"
147,275/65R17,CROSSWIND H/T,"3,150,000"
148,205/55R17 XL(HB),COMFORT MASTER,"1,550,000 "
149,215/55R18,HP010 PLUS,"2,050,000"
150,225/40R18,GREEN-Max,"1,850,000"
151,225/45R18 GM,GREEN-Max,"1,950,000"
152,225/45R18,HP010 PLUS,"2,000,000"
153,225/45R18 SP,SPORT MASTER,"2,000,000"
154,225/50R18,HP010 PLUS,"2,050,000"
155,225/55R18,CROSSWIND 4X4 HP,"2,200,000"
156,225/60R18 CW,CROSSWIND 4X4 HP,"2,350,000"
157,225/60R18,HP010 PLUS,"2,150,000"
158,235/45R18 GM,GREEN-MAX,"2,050,000"
159,235/45R18,CROSSWIND,"2,050,000"
160,235/50R18,GREEN-Max,"2,200,000"
161,235/55R18 CW,CROSSWIND 4X4 HP,"2,300,000"
162,235/55R18,HP010 PLUS,"2,350,000"
163,235/60R18 CW,CROSSWIND 4X4 HP,"2,450,000"
164,235/60R18,HP010 PLUS,"2,500,000"
165,245/40R18,HP010 PLUS,"2,050,000"
166,245/45R18,GREEN-Max,"2,250,000"
167,255/55R18,CROSSWIND 4X4 HP,"2,600,000"
168,255/60R18,CROSSWIND 4X4 HP,"2,750,000"
